date,MDW,ORD
01/01/2014,431.0,1546.0
01/02/2014,396.0,1595.0
01/03/2014,321.0,2075.0
01/04/2014,498.0,1722.0
01/05/2014,376.0,864.0
01/06/2014,391.0,617.0
01/07/2014,413.0,1230.0
01/08/2014,632.0,2100.0
01/09/2014,621.0,2130.0
01/10/2014,549.0,2226.0
01/11/2014,400.0,1753.0
01/12/2014,493.0,2157.0
01/13/2014,629.0,2377.0
01/14/2014,510.0,2167.0
01/15/2014,640.0,2343.0
01/16/2014,644.0,2254.0
01/17/2014,653.0,2320.0
01/18/2014,382.0,1637.0
01/19/2014,489.0,2115.0
01/20/2014,628.0,2245.0
01/21/2014,599.0,2084.0
01/22/2014,587.0,2135.0
01/23/2014,637.0,2342.0
01/24/2014,553.0,1857.0
01/25/2014,426.0,1786.0
01/26/2014,362.0,1900.0
01/27/2014,508.0,1897.0
01/28/2014,482.0,1710.0
01/29/2014,569.0,2156.0
01/30/2014,488.0,2034.0
01/31/2014,618.0,2318.0
02/01/2014,267.0,1386.0
02/02/2014,454.0,1976.0
02/03/2014,606.0,2223.0
02/04/2014,589.0,1936.0
02/05/2014,565.0,1794.0
02/06/2014,644.0,2301.0
02/07/2014,666.0,2361.0
02/08/2014,395.0,1724.0
02/09/2014,525.0,2143.0
02/10/2014,613.0,2346.0
02/11/2014,634.0,2243.0
02/12/2014,606.0,2232.0
02/13/2014,633.0,2179.0
02/14/2014,658.0,2409.0
02/15/2014,453.0,1915.0
02/16/2014,546.0,2248.0
02/17/2014,402.0,1588.0
02/18/2014,706.0,2420.0
02/19/2014,661.0,2463.0
02/20/2014,417.0,2122.0
02/21/2014,615.0,2401.0
02/22/2014,543.0,1948.0
02/23/2014,573.0,2280.0
02/24/2014,662.0,2472.0
02/25/2014,658.0,2449.0
02/26/2014,683.0,2463.0
02/27/2014,644.0,2546.0
02/28/2014,662.0,2491.0
03/01/2014,491.0,1852.0
03/02/2014,548.0,2112.0
03/03/2014,628.0,2274.0
03/04/2014,687.0,2372.0
03/05/2014,661.0,2237.0
03/06/2014,717.0,2563.0
03/07/2014,686.0,2522.0
03/08/2014,539.0,2024.0
03/09/2014,623.0,2400.0
03/10/2014,698.0,2559.0
03/11/2014,690.0,2509.0
03/12/2014,589.0,1801.0
03/13/2014,760.0,2562.0
03/14/2014,701.0,2570.0
03/15/2014,565.0,2037.0
03/16/2014,639.0,2386.0
03/17/2014,700.0,2543.0
03/18/2014,743.0,2511.0
03/19/2014,723.0,2549.0
03/20/2014,771.0,2583.0
03/21/2014,710.0,2588.0
03/22/2014,587.0,2064.0
03/23/2014,603.0,2404.0
03/24/2014,719.0,2545.0
03/25/2014,702.0,2500.0
03/26/2014,709.0,2548.0
03/27/2014,719.0,2366.0
03/28/2014,688.0,2565.0
03/29/2014,583.0,2046.0
03/30/2014,634.0,2392.0
03/31/2014,706.0,2562.0
04/01/2014,707.0,2547.0
04/02/2014,680.0,2590.0
04/03/2014,681.0,2366.0
04/04/2014,653.0,2593.0
04/05/2014,600.0,2046.0
04/06/2014,641.0,2436.0
04/07/2014,705.0,2603.0
04/08/2014,770.0,2543.0
04/09/2014,778.0,2443.0
04/10/2014,763.0,2605.0
04/11/2014,816.0,2603.0
04/12/2014,523.0,2025.0
04/13/2014,638.0,2415.0
04/14/2014,720.0,2488.0
04/15/2014,772.0,2510.0
04/16/2014,756.0,2585.0
04/17/2014,791.0,2624.0
04/18/2014,677.0,2588.0
04/19/2014,474.0,2001.0
04/20/2014,622.0,2379.0
04/21/2014,812.0,2587.0
04/22/2014,815.0,2567.0
04/23/2014,808.0,2562.0
04/24/2014,784.0,2591.0
04/25/2014,713.0,2628.0
04/26/2014,525.0,2011.0
04/27/2014,610.0,2379.0
04/28/2014,727.0,2555.0
04/29/2014,760.0,2252.0
04/30/2014,709.0,2535.0
05/01/2014,788.0,2656.0
05/02/2014,783.0,2619.0
05/03/2014,525.0,2038.0
05/04/2014,715.0,2451.0
05/05/2014,775.0,2602.0
05/06/2014,796.0,2626.0
05/07/2014,803.0,2660.0
05/08/2014,822.0,2696.0
05/09/2014,748.0,2641.0
05/10/2014,547.0,2054.0
05/11/2014,571.0,2263.0
05/12/2014,733.0,2132.0
05/13/2014,574.0,1672.0
05/14/2014,832.0,2560.0
05/15/2014,836.0,2631.0
05/16/2014,779.0,2661.0
05/17/2014,568.0,2049.0
05/18/2014,710.0,2560.0
05/19/2014,819.0,2724.0
05/20/2014,753.0,2538.0
05/21/2014,872.0,2739.0
05/22/2014,785.0,2687.0
05/23/2014,737.0,2746.0
05/24/2014,495.0,2087.0
05/25/2014,534.0,1976.0
05/26/2014,614.0,2525.0
05/27/2014,717.0,2463.0
05/28/2014,807.0,2688.0
05/29/2014,772.0,2761.0
05/30/2014,716.0,2751.0
05/31/2014,524.0,2087.0
06/01/2014,695.0,2438.0
06/02/2014,740.0,2583.0
06/03/2014,797.0,2677.0
06/04/2014,804.0,2695.0
06/05/2014,857.0,2766.0
06/06/2014,735.0,2783.0
06/07/2014,572.0,2314.0
06/08/2014,698.0,2655.0
06/09/2014,834.0,2754.0
06/10/2014,884.0,2690.0
06/11/2014,861.0,2733.0
06/12/2014,843.0,2766.0
06/13/2014,799.0,2732.0
06/14/2014,622.0,2352.0
06/15/2014,712.0,2528.0
06/16/2014,814.0,2824.0
06/17/2014,789.0,2788.0
06/18/2014,771.0,1968.0
06/19/2014,804.0,2184.0
06/20/2014,829.0,2745.0
06/21/2014,619.0,2243.0
06/22/2014,727.0,2720.0
06/23/2014,806.0,2604.0
06/24/2014,834.0,2724.0
06/25/2014,878.0,2617.0
06/26/2014,902.0,2815.0
06/27/2014,829.0,2819.0
06/28/2014,648.0,2340.0
06/29/2014,705.0,2664.0
06/30/2014,585.0,2120.0
07/01/2014,797.0,2659.0
07/02/2014,772.0,2620.0
07/03/2014,741.0,2611.0
07/04/2014,531.0,1919.0
07/05/2014,587.0,2205.0
07/06/2014,729.0,2698.0
07/07/2014,774.0,2770.0
07/08/2014,736.0,2759.0
07/09/2014,818.0,2797.0
07/10/2014,837.0,2846.0
07/11/2014,820.0,2847.0
07/12/2014,614.0,2202.0
07/13/2014,736.0,2688.0
07/14/2014,756.0,2719.0
07/15/2014,759.0,2768.0
07/16/2014,810.0,2820.0
07/17/2014,825.0,2816.0
07/18/2014,756.0,2836.0
07/19/2014,612.0,2372.0
07/20/2014,730.0,2718.0
07/21/2014,762.0,2820.0
07/22/2014,849.0,2811.0
07/23/2014,826.0,2764.0
07/24/2014,896.0,2821.0
07/25/2014,870.0,2843.0
07/26/2014,643.0,2375.0
07/27/2014,704.0,2630.0
07/28/2014,807.0,2833.0
07/29/2014,822.0,2799.0
07/30/2014,810.0,2805.0
07/31/2014,826.0,2846.0
08/01/2014,772.0,2728.0
08/02/2014,647.0,2372.0
08/03/2014,729.0,2676.0
08/04/2014,745.0,2512.0
08/05/2014,853.0,2861.0
08/06/2014,811.0,2819.0
08/07/2014,818.0,2861.0
08/08/2014,800.0,2831.0
08/09/2014,631.0,2357.0
08/10/2014,733.0,2723.0
08/11/2014,776.0,2762.0
08/12/2014,779.0,2657.0
08/13/2014,817.0,2823.0
08/14/2014,810.0,2832.0
08/15/2014,748.0,2828.0
08/16/2014,559.0,2389.0
08/17/2014,669.0,2705.0
08/18/2014,757.0,2788.0
08/19/2014,754.0,2483.0
08/20/2014,768.0,2737.0
08/21/2014,746.0,2506.0
08/22/2014,772.0,2738.0
08/23/2014,563.0,2060.0
08/24/2014,674.0,2607.0
08/25/2014,719.0,2217.0
08/26/2014,798.0,2448.0
08/27/2014,796.0,2768.0
08/28/2014,787.0,2783.0
08/29/2014,749.0,2758.0
08/30/2014,504.0,2045.0
08/31/2014,524.0,1888.0
09/01/2014,642.0,2626.0
09/02/2014,745.0,2723.0
09/03/2014,786.0,2627.0
09/04/2014,771.0,2470.0
09/05/2014,714.0,2185.0
09/06/2014,582.0,2067.0
09/07/2014,722.0,2570.0
09/08/2014,767.0,2779.0
09/09/2014,861.0,2679.0
09/10/2014,814.0,2487.0
09/11/2014,848.0,2757.0
09/12/2014,725.0,2777.0
09/13/2014,537.0,2040.0
09/14/2014,705.0,2586.0
09/15/2014,787.0,2797.0
09/16/2014,832.0,2720.0
09/17/2014,891.0,2772.0
09/18/2014,835.0,2777.0
09/19/2014,787.0,2791.0
09/20/2014,557.0,2047.0
09/21/2014,709.0,2610.0
09/22/2014,797.0,2780.0
