date,facility,state,region,service_area,class,air_carrier,air_taxi,general_aviation,military_itinerant,total_itinerant,civil,military_local,total_local,total_operations
01/01/2014,MDW,IL,AGL,CT,Towers with Radar,388,29,14,0,431,0,0,0,431
01/01/2014,ORD,IL,AGL,CT,Towers with Radar,1072,470,3,1,1546,0,0,0,1546
01/02/2014,MDW,IL,AGL,CT,Towers with Radar,329,37,30,0,396,0,0,0,396
01/02/2014,ORD,IL,AGL,CT,Towers with Radar,1129,458,8,0,1595,0,0,0,1595
01/03/2014,MDW,IL,AGL,CT,Towers with Radar,200,78,37,6,321,0,0,0,321
01/03/2014,ORD,IL,AGL,CT,Towers with Radar,1289,763,23,0,2075,0,0,0,2075
01/04/2014,MDW,IL,AGL,CT,Towers with Radar,379,55,63,1,498,0,0,0,498
01/04/2014,ORD,IL,AGL,CT,Towers with Radar,1117,589,16,0,1722,0,0,0,1722
01/05/2014,MDW,IL,AGL,CT,Towers with Radar,255,72,49,0,376,0,0,0,376
01/05/2014,ORD,IL,AGL,CT,Towers with Radar,681,160,23,0,864,0,0,0,864
01/06/2014,MDW,IL,AGL,CT,Towers with Radar,270,56,65,0,391,0,0,0,391
01/06/2014,ORD,IL,AGL,CT,Towers with Radar,551,41,25,0,617,0,0,0,617
01/07/2014,MDW,IL,AGL,CT,Towers with Radar,289,64,55,5,413,0,0,0,413
01/07/2014,ORD,IL,AGL,CT,Towers with Radar,937,265,28,0,1230,0,0,0,1230
01/08/2014,MDW,IL,AGL,CT,Towers with Radar,466,72,84,10,632,0,0,0,632
01/08/2014,ORD,IL,AGL,CT,Towers with Radar,1311,772,15,2,2100,0,0,0,2100
01/09/2014,MDW,IL,AGL,CT,Towers with Radar,464,80,75,2,621,0,0,0,621
01/09/2014,ORD,IL,AGL,CT,Towers with Radar,1339,781,10,0,2130,0,0,0,2130
01/10/2014,MDW,IL,AGL,CT,Towers with Radar,461,61,27,0,549,0,0,0,549
01/10/2014,ORD,IL,AGL,CT,Towers with Radar,1388,812,26,0,2226,0,0,0,2226
01/11/2014,MDW,IL,AGL,CT,Towers with Radar,334,34,28,4,400,0,0,0,400
01/11/2014,ORD,IL,AGL,CT,Towers with Radar,1087,652,14,0,1753,0,0,0,1753
01/12/2014,MDW,IL,AGL,CT,Towers with Radar,420,36,35,2,493,0,0,0,493
01/12/2014,ORD,IL,AGL,CT,Towers with Radar,1322,827,8,0,2157,0,0,0,2157
01/13/2014,MDW,IL,AGL,CT,Towers with Radar,480,62,87,0,629,0,0,0,629
01/13/2014,ORD,IL,AGL,CT,Towers with Radar,1384,964,28,1,2377,0,0,0,2377
01/14/2014,MDW,IL,AGL,CT,Towers with Radar,390,45,65,10,510,0,0,0,510
01/14/2014,ORD,IL,AGL,CT,Towers with Radar,1297,839,31,0,2167,0,0,0,2167
01/15/2014,MDW,IL,AGL,CT,Towers with Radar,479,62,86,13,640,0,0,0,640
01/15/2014,ORD,IL,AGL,CT,Towers with Radar,1381,939,23,0,2343,0,0,0,2343
01/16/2014,MDW,IL,AGL,CT,Towers with Radar,487,64,81,12,644,0,0,0,644
01/16/2014,ORD,IL,AGL,CT,Towers with Radar,1344,882,27,1,2254,0,0,0,2254
01/17/2014,MDW,IL,AGL,CT,Towers with Radar,489,77,84,3,653,0,0,0,653
01/17/2014,ORD,IL,AGL,CT,Towers with Radar,1375,923,21,1,2320,0,0,0,2320
01/18/2014,MDW,IL,AGL,CT,Towers with Radar,324,26,30,2,382,0,0,0,382
01/18/2014,ORD,IL,AGL,CT,Towers with Radar,1069,559,9,0,1637,0,0,0,1637
01/19/2014,MDW,IL,AGL,CT,Towers with Radar,399,39,51,0,489,0,0,0,489
01/19/2014,ORD,IL,AGL,CT,Towers with Radar,1296,808,11,0,2115,0,0,0,2115
01/20/2014,MDW,IL,AGL,CT,Towers with Radar,475,57,94,2,628,0,0,0,628
01/20/2014,ORD,IL,AGL,CT,Towers with Radar,1349,869,27,0,2245,0,0,0,2245
01/21/2014,MDW,IL,AGL,CT,Towers with Radar,445,74,78,2,599,0,0,0,599
01/21/2014,ORD,IL,AGL,CT,Towers with Radar,1181,878,25,0,2084,0,0,0,2084
01/22/2014,MDW,IL,AGL,CT,Towers with Radar,458,62,67,0,587,0,0,0,587
01/22/2014,ORD,IL,AGL,CT,Towers with Radar,1270,847,18,0,2135,0,0,0,2135
01/23/2014,MDW,IL,AGL,CT,Towers with Radar,481,70,83,3,637,0,0,0,637
01/23/2014,ORD,IL,AGL,CT,Towers with Radar,1394,934,14,0,2342,0,0,0,2342
01/24/2014,MDW,IL,AGL,CT,Towers with Radar,414,71,66,2,553,0,0,0,553
01/24/2014,ORD,IL,AGL,CT,Towers with Radar,1183,660,14,0,1857,0,0,0,1857
01/25/2014,MDW,IL,AGL,CT,Towers with Radar,345,42,39,0,426,0,0,0,426
01/25/2014,ORD,IL,AGL,CT,Towers with Radar,1096,679,11,0,1786,0,0,0,1786
01/26/2014,MDW,IL,AGL,CT,Towers with Radar,286,42,34,0,362,0,0,0,362
01/26/2014,ORD,IL,AGL,CT,Towers with Radar,1220,666,14,0,1900,0,0,0,1900
01/27/2014,MDW,IL,AGL,CT,Towers with Radar,388,62,58,0,508,0,0,0,508
01/27/2014,ORD,IL,AGL,CT,Towers with Radar,1253,633,11,0,1897,0,0,0,1897
01/28/2014,MDW,IL,AGL,CT,Towers with Radar,363,52,67,0,482,0,0,0,482
01/28/2014,ORD,IL,AGL,CT,Towers with Radar,1120,573,17,0,1710,0,0,0,1710
