date,Bears
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,239568296
1987,238053348
1988,236570203
1989,235061993
1990,232089541
1991,231383036
1992,230836095
1993,230390200
1994,229674271
1995,228977596
1996,228076133
1997,227185184
1998,226251738
1999,225164309
2000,224017827
2001,224518693
2002,222964282
2003,221167482
2004,219507556
2005,217767798
2006,216055487
2007,214239369
2008,212420755
2009,210582425
2010,208701034
2011,206709900
2012,204727392
2013,202670556
2014,200560669
2015,198500000
