ward,alderman,amt
8 ,Harris ,100 
10 ,Pope ,100 
13 ,Quinn ,100 
21 ,Brookins Jr. ,100 
27 ,"Burnett, Jr. ",100 
29 ,Graham ,100 
33 ,D. Mell* ,100 
39 ,Laurino ,100 
12 ,Cardenas ,99 
31 ,Suarez ,98 
49 ,Moore ,98 
50 ,Silverstein ,98 
11 ,Balcer ,97 
16 ,Thompson ,97 
25 ,Solis ,97 
37 ,Mitts ,97 
38 ,Cullerton ,97 
19 ,O’Shea ,96 
28 ,Ervin ,96 
35 ,Colon ,96 
44 ,Tunney ,96 
1 ,Moreno ,95 
9 ,Beale ,95 
17 ,Thomas ,95 
18 ,Lane ,95 
26 ,Maldonado ,95 
30 ,Reboyras ,94 
34 ,Austin ,94 
46 ,Cappleman ,94 
48 ,Osterman ,94 
23 ,Zalewski ,93 
47 ,Pawar ,93 
24 ,Chandler ,92 
41 ,M. O’Connor ,92 
4 ,Burns ,91 
7 ,Holmes*,91 
40 ,P. O’Connor ,90 
20 ,Cochran ,89 
3 ,Dowell ,88 
14 ,Burke ,87 
15 ,Foulkes ,87 
43 ,Smith ,87 
6 ,Sawyer ,85 
22 ,Munoz ,79 
5 ,Hairston ,78 
42 ,Reilly ,72 
36 ,Sposato ,66 
32 ,Waguespack ,54 
2 ,Fioretti ,45 
45 ,Arena ,43 
