date,Cubs
1903,0
1904,0
1905,0
1906,0
1907,87008000
1908,88710000
1909,88328000
1910,88036000
1911,87281000
1912,86535000
1913,86143000
1914,85707000
1915,84845000
1916,83925000
1917,82854000
1918,80369000
1919,79494000
1920,78921000
1921,78371000
1922,77362000
1923,76739000
1924,76297000
1925,75484000
1926,74619000
1927,73768000
1928,72872000
1929,71897000
1930,71035659
1931,69922926
1932,68763136
1933,67615314
1934,66520396
1935,65413735
1936,64260045
1937,63081059
1938,61955810
1939,60832299
1940,59773849
1941,58759254
1942,57765645
1943,56764788
1944,55715823
1945,54722676
1946,53620695
1947,52526766
1948,51391504
1949,50299294
1950,49281562
1951,48218231
1952,47133685
1953,46010744
1954,44919835
1955,43825742
1956,42676097
1957,41495984
1958,40258158
1959,39098866
1960,37950430
1961,36774875
1962,35539433
1963,34213798
1964,32901714
1965,31553228
1966,30202586
1967,28902796
1968,27601925
1969,26317537
1970,25078742
1971,23918973
1972,22735136
1973,21524934
1974,20329121
1975,19161115
1976,18030200
1977,16951175
1978,15876541
1979,14965336
1980,13810323
1981,12771754
1982,11824195
1983,10860318
1984,9920240
1985,9011416
1986,8145322
1987,7334234
1988,6532815
1989,5806268
1990,5127414
1991,4522562
1992,3944615
1993,3410631
1994,2923430
1995,2482979
1996,2076335
1997,1708449
1998,1376295
1999,1095508
2000,855479
2001,786555
2002,562661
2003,337695
2004,280975
2005,227242
2006,172226
2007,112945
2008,49516
2009,50702
2010,54409
2011,57703
2012,61845
2013,66748
2014,72197
