date,Citywide,Asian or Pacific Islander,Black Non-Hispanic,Hispanic,White Non-Hispanic
1999,47,77.6,43.2,49.8,52
2000,47.2,77.4,42.6,50.3,54.8
2001,47.2,75.1,43,50.5,52.2
2002,47,77.5,42.8,48.5,54
2003,48.4,75.8,44.5,50.6,54
2004,50.1,74.3,45.6,52.9,56.8
2005,52,75.1,46.9,55.8,58.3
2006,52.7,74.6,48.3,55.5,60.2
2007,55.1,77.4,50.9,57.2,62.2
2008,54.3,76.4,51,55,62.1
2009,54.5,77.2,50.6,56.2,62.8
2010,55.8,79.8,51.1,58.8,63.7
2011,58.3,81.8,52.7,62.5,67.4
2012,61.2,83.8,54.7,66.4,70
2013,65.4,87.8,59,70.8,74.4
2014,69.4,90.9,61.9,75.2,78.5
