date,key,value
2010,11 or younger,17
2010,12-14,6
2010,15-17,40
2010,18-20,68
2010,21-23,54
2010,24-26,43
2010,27-29,50
2010,30-32,46
2010,33-35,30
2010,36-38,15
2010,39-41,11
2010,42-44,18
2010,45-47,9
2010,48-50,8
2010,51-53,9
2010,54-56,5
2010,57-60,8
2010,60+,10
2011,11 or younger,10
2011,12-14,3
2011,15-17,39
2011,18-20,78
2011,21-23,74
2011,24-26,49
2011,27-29,32
2011,30-32,42
2011,33-35,27
2011,36-38,17
2011,39-41,17
2011,42-44,7
2011,45-47,10
2011,48-50,8
2011,51-53,9
2011,54-56,12
2011,57-60,5
2011,60+,10
2012,11 or younger,9
2012,12-14,7
2012,15-17,44
2012,18-20,77
2012,21-23,90
2012,24-26,70
2012,27-29,42
2012,30-32,35
2012,33-35,31
2012,36-38,21
2012,39-41,22
2012,42-44,13
2012,45-47,8
2012,48-50,10
2012,51-53,12
2012,54-56,8
2012,57-60,8
2012,60+,15
2013,11 or younger,15
2013,12-14,6
2013,15-17,35
2013,18-20,69
2013,21-23,63
2013,24-26,53
2013,27-29,47
2013,30-32,34
2013,33-35,32
2013,36-38,18
2013,39-41,14
2013,42-44,8
2013,45-47,7
2013,48-50,10
2013,51-53,10
2013,54-56,8
2013,57-60,2
2013,60+,10
2014,11 or younger,10
2014,12-14,7
2014,15-17,44
2014,18-20,69
2014,21-23,76
2014,24-26,41
2014,27-29,31
2014,30-32,31
2014,33-35,33
2014,36-38,16
2014,39-41,11
2014,42-44,12
2014,45-47,10
2014,48-50,5
2014,51-53,14
2014,54-56,10
2014,57-60,5
2014,60+,9
