year,general revenue,common school fund,capital projects fund,special projects
1975,$54.50,,,
1976,$78.50,,,
1977,$47.10,,,
1978,$32.70,,,
1979,$32.60,,,
1980,$32.20,,,
1981,$68.80,,,
1982,$137.60,,,
1983,$215.00,,,
1984,$358.10,,,
1985,$506.20,,,
1986,$86.80,$465.00,,
1987,,$553.10,,
1988,,$524.40,,
1989,,$586.10,,
1990,,$594.00,,
1991,,$580.00,,
1992,,$610.00,,
1993,,$587.40,,
1994,,$552.10,,
1995,,$588.30,,
1996,,$594.10,,
1997,,$590.20,,
1998,,$560.00,,
1999,,$540.00,,
2000,,$515.30,,
2001,,$501.00,,
2002,,$555.10,,
2003,,$540.30,,
2004,,$570.10,,
2005,,$614.00,,
2006,,$670.50,,$3.70
2007,,$622.40,,$4.10
2008,,$657.00,,$4.60
2009,,$625.00,,$5.20
2010,,$625.00,$32.90,$4.20
2011,,$631.90,$54.10,$4.10
2012,,$639.90,$65.20,$3.20
2013,,$655.60,$135.00,$2.90
2014,,$668.10,$145.00,$2.30
2015,,$678.60,$8.00,$3.60
2016,,$691.60,,$3.30
