pct,votes_cast,barack_obama_joe_biden,barack_obama_joe_biden_pct,mitt_romney_paul_ryan,mitt_romney_paul_ryan_pct,gary_johnson_james_p._gray,gary_johnson_james_p._gray_pct,jill_stein_howie_hawkins,jill_stein_howie_hawkins_pct,ward,precinct_id
1,492,423,85.98,48,9.76,6,1.22,15,3.05,1,01001
2,430,388,90.23,30,6.98,3,0.70,9,2.09,1,01002
3,624,507,81.25,95,15.22,13,2.08,9,1.44,1,01003
4,565,439,77.70,110,19.47,7,1.24,9,1.59,1,01004
5,581,477,82.10,86,14.80,13,2.24,5,0.86,1,01005
6,532,412,77.44,98,18.42,10,1.88,12,2.26,1,01006
7,487,412,84.60,50,10.27,11,2.26,14,2.87,1,01007
8,496,415,83.67,66,13.31,6,1.21,9,1.81,1,01008
9,542,446,82.29,75,13.84,10,1.85,11,2.03,1,01009
10,562,440,78.29,102,18.15,10,1.78,10,1.78,1,01010
11,631,505,80.03,109,17.27,7,1.11,10,1.58,1,01011
12,593,436,73.52,133,22.43,13,2.19,11,1.85,1,01012
13,514,440,85.60,59,11.48,7,1.36,8,1.56,1,01013
14,567,473,83.42,78,13.76,8,1.41,8,1.41,1,01014
15,483,407,84.27,59,12.22,5,1.04,12,2.48,1,01015
16,611,544,89.03,44,7.20,6,0.98,17,2.78,1,01016
17,434,389,89.63,30,6.91,8,1.84,7,1.61,1,01017
18,483,436,90.27,32,6.63,8,1.66,7,1.45,1,01018
19,600,503,83.83,68,11.33,13,2.17,16,2.67,1,01019
20,436,375,86.01,42,9.63,11,2.52,8,1.83,1,01020
21,622,480,77.17,118,18.97,14,2.25,10,1.61,1,01021
22,306,277,90.52,23,7.52,5,1.63,1,0.33,1,01022
23,679,566,83.36,76,11.19,22,3.24,15,2.21,1,01023
24,453,416,91.83,20,4.42,6,1.32,11,2.43,1,01024
25,475,416,87.58,43,9.05,8,1.68,8,1.68,1,01025
26,322,301,93.48,16,4.97,2,0.62,3,0.93,1,01026
27,512,408,79.69,89,17.38,6,1.17,9,1.76,1,01027
28,464,421,90.73,33,7.11,2,0.43,8,1.72,1,01028
29,508,411,80.91,87,17.13,4,0.79,6,1.18,1,01029
30,467,402,86.08,50,10.71,4,0.86,11,2.36,1,01030
31,494,424,85.83,57,11.54,7,1.42,6,1.21,1,01031
32,483,382,79.09,88,18.22,5,1.04,8,1.66,1,01032
33,528,420,79.55,88,16.67,9,1.70,11,2.08,1,01033
34,543,457,84.16,55,10.13,9,1.66,22,4.05,1,01034
35,532,420,78.95,92,17.29,7,1.32,13,2.44,1,01035
36,596,453,76.01,121,20.30,12,2.01,10,1.68,1,01036
37,544,398,73.16,120,22.06,17,3.13,9,1.65,1,01037
38,522,439,84.10,62,11.88,12,2.30,9,1.72,1,01038
39,441,379,85.94,54,12.24,6,1.36,2,0.45,1,01039
40,518,430,83.01,71,13.71,6,1.16,11,2.12,1,01040
1,560,444,79.29,90,16.07,18,3.21,8,1.43,2,02001
2,497,342,68.81,148,29.78,6,1.21,1,0.20,2,02002
3,631,511,80.98,99,15.69,10,1.58,11,1.74,2,02003
4,548,437,79.74,86,15.69,16,2.92,9,1.64,2,02004
