"pct","ballots_cast","ward","pct","voters","ward","pct","votes_cast","barack_obama_&_joe_biden","barack_obama_&_joe_biden_pct","mitt_romney_&_paul_ryan","mitt_romney_&_paul_ryan_pct","gary_johnson_&_james_p._gray","gary_johnson_&_james_p._gray_pct","jill_stein_&_howie_hawkins","jill_stein_&_howie_hawkins_pct","ward","pct","ballots_cast","ward","pct","voters","ward","pct","votes_cast","trump_&_pence","trump_&_pence_pct","clinton_&_kaine","clinton_&_kaine_pct","johnson_&_weld","johnson_&_weld_pct","stein_&_baraka","stein_&_baraka_pct","ward","Turnout_2012","Turnout_2016","turnout_diff","vote_diff","voter_dif","obama_clinton","romney_trump","obama_clinton_pct"
"Total",20955,1,"Total",28363,1,"Total",20672,17167,83.04,2777,13.43,338,1.64,390,1.89,1,"Total",25882,1,"Total",35386,1,"Total",25303,2109,8.33,21792,86.12,799,3.16,603,2.38,1,0.7288368649,0.7150568021,-0.0137800628,4631,7023,4625,-668,3.08
"Total",26782,2,"Total",32401,2,"Total",26583,18179,68.39,7814,29.39,391,1.47,199,0.75,2,"Total",30121,2,"Total",38396,2,"Total",29321,5079,17.32,22620,77.15,1251,4.27,371,1.27,2,0.8204376408,0.7636472549,-0.0567903859,2738,5995,4441,-2735,8.76
"Total",25094,3,"Total",29737,3,"Total",24791,22343,90.13,2245,9.06,123,0.5,80,0.32,3,"Total",25508,3,"Total",36069,3,"Total",25831,1850,7.16,23164,89.68,493,1.91,324,1.25,3,0.8336752194,0.7161551471,-0.1175200723,1040,6332,821,-395,-0.45
"Total",25785,4,"Total",28913,4,"Total",25530,23910,93.65,1353,5.3,146,0.57,121,0.47,4,"Total",25431,4,"Total",34497,4,"Total",25671,1121,4.37,23779,92.63,383,1.49,388,1.51,4,0.882993809,0.7441516654,-0.1388421437,141,5584,-131,-232,-1.02
"Total",24058,5,"Total",27909,5,"Total",23815,22717,95.39,792,3.33,107,0.45,199,0.84,5,"Total",23747,5,"Total",31931,5,"Total",23304,692,2.97,21888,93.92,273,1.17,451,1.94,5,0.8533089684,0.7298236823,-0.1234852861,-511,4022,-829,-100,-1.47
"Total",25699,6,"Total",32772,6,"Total",25377,25198,99.29,137,0.54,18,0.07,24,0.09,6,"Total",21890,6,"Total",34325,6,"Total",21488,379,1.76,20787,96.74,115,0.54,207,0.96,6,0.7743500549,0.6260160233,-0.1483340316,-3889,1553,-4411,242,-2.55
"Total",24512,7,"Total",31485,7,"Total",24174,23840,98.62,274,1.13,40,0.17,20,0.08,7,"Total",20926,7,"Total",33466,7,"Total",20909,468,2.24,20095,96.11,117,0.56,229,1.1,7,0.7677941877,0.6247833622,-0.1430108255,-3265,1981,-3745,194,-2.51
"Total",28951,8,"Total",36317,8,"Total",28602,28355,99.14,191,0.67,29,0.1,27,0.09,8,"Total",25602,8,"Total",38392,8,"Total",25542,395,1.55,24748,96.89,138,0.54,261,1.02,8,0.7875650522,0.6652948531,-0.1222701991,-3060,2075,-3607,204,-2.25
"Total",27199,9,"Total",35968,9,"Total",26880,26620,99.03,208,0.77,24,0.09,28,0.1,9,"Total",24036,9,"Total",37328,9,"Total",23547,404,1.72,22816,96.9,124,0.53,203,0.86,9,0.7473309609,0.6308133305,-0.1165176304,-3333,1360,-3804,196,-2.13
"Total",14949,10,"Total",24793,10,"Total",14716,12009,81.61,2585,17.57,70,0.48,52,0.35,10,"Total",16247,10,"Total",26969,10,"Total",15826,2708,17.11,12649,79.93,260,1.64,209,1.32,10,0.5935546324,0.5868219066,-0.0067327257,1110,2176,640,123,-1.68
"Total",15561,11,"Total",23871,11,"Total",15322,11255,73.46,3774,24.63,167,1.09,126,0.82,11,"Total",18381,11,"Total",28682,11,"Total",17986,4677,26,12395,68.91,455,2.53,459,2.55,11,0.6418667002,0.6270831881,-0.0147835121,2664,4811,1140,903,-4.55
"Total",9129,12,"Total",16860,12,"Total",8923,7663,85.88,1084,12.15,74,0.83,102,1.14,12,"Total",11715,12,"Total",20103,12,"Total",11412,1182,10.36,9650,84.56,237,2.08,343,3.01,12,0.5292408066,0.5676764662,0.0384356596,2489,3243,1987,98,-1.32
"Total",16765,13,"Total",21729,13,"Total",16483,11647,70.66,4609,27.96,133,0.81,94,0.57,13,"Total",19864,13,"Total",26940,13,"Total",19451,5000,25.71,13685,70.36,439,2.26,327,1.68,13,0.7585714943,0.7220118782,-0.0365596161,2968,5211,2038,391,-0.3
"Total",10853,14,"Total",16126,14,"Total",10593,8395,79.25,2046,19.31,77,0.73,75,0.71,14,"Total",13574,14,"Total",20111,14,"Total",13251,2229,16.82,10538,79.53,212,1.6,272,2.05,14,0.6568894952,0.6588931431,0.0020036478,2658,3985,2143,183,0.28
"Total",10087,15,"Total",16925,15,"Total",9878,9216,93.3,593,6,33,0.33,36,0.36,15,"Total",10730,15,"Total",19585,15,"Total",10445,584,5.59,9595,91.86,119,1.14,147,1.41,15,0.583633678,0.5333163135,-0.0503173645,567,2660,379,-9,-1.44
