COMMUNITY,Total,2014,2015
DOUGLAS,369,188,181
ROSELAND,335,185,150
PULLMAN,322,177,145
AUSTIN,302,160,142
GREATER GRAND CROSSING,261,156,105
ARCHER HEIGHTS,240,106,134
EAST GARFIELD PARK,226,153,73
WOODLAWN,210,143,67
AUBURN GRESHAM,208,107,101
AVALON PARK,197,112,85
IRVING PARK,171,94,77
NEW CITY,169,108,61
PORTAGE PARK,166,95,71
WASHINGTON HEIGHTS,152,99,53
NORTH LAWNDALE,145,77,68
ENGLEWOOD,140,99,41
HUMBOLDT PARK,133,83,50
SOUTH CHICAGO,133,81,52
SOUTH SHORE,120,73,47
MORGAN PARK,117,71,46
SOUTH LAWNDALE,116,65,51
ASHBURN,115,54,61
ALBANY PARK,114,75,39
NEAR WEST SIDE,113,66,47
WEST TOWN,108,75,33
BELMONT CRAGIN,108,64,44
GRAND BOULEVARD,106,81,25
EAST SIDE,103,62,41
UPTOWN,98,66,32
WEST ENGLEWOOD,95,55,40
NORWOOD PARK,92,51,41
LAKE VIEW,90,55,35
BRIGHTON PARK,85,40,45
KENWOOD,80,52,28
GAGE PARK,80,46,34
CHATHAM,79,39,40
CHICAGO LAWN,76,29,47
LOWER WEST SIDE,69,26,43
LINCOLN SQUARE,68,36,32
WEST RIDGE,65,33,32
GARFIELD RIDGE,65,29,36
RIVERDALE,59,41,18
EDGEWATER,57,26,31
ROGERS PARK,43,22,21
NORTH PARK,41,18,23
WEST GARFIELD PARK,38,24,14
WEST LAWN,38,18,20
LOGAN SQUARE,34,24,10
WASHINGTON PARK,32,17,15
HERMOSA,32,20,12
LINCOLN PARK,31,22,9
NORTH CENTER,28,21,7
WEST ELSDON,26,9,17
LOOP,24,14,10
DUNNING,22,14,8
WEST PULLMAN,22,16,6
NEAR NORTH SIDE,18,12,6
AVONDALE,15,7,8
MOUNT GREENWOOD,13,3,10
ARMOUR SQUARE,12,7,5
JEFFERSON PARK,10,4,6
SOUTH DEERING,8,4,4
CALUMET HEIGHTS,7,2,5
BURNSIDE,6,6,0
NEAR SOUTH SIDE,6,0,6
BRIDGEPORT,5,3,2
BEVERLY,5,3,2
EDISON PARK,5,5,0
FULLER PARK,4,2,2
HYDE PARK,4,1,3
MCKINLEY PARK,4,3,1
MONTCLARE,2,0,2
CLEARING,2,2,0
OAKLAND,0,0,0
FOREST GLEN,0,0,0
HEGEWISCH,0,0,0
OHARE,0,0,0
