year,Arizona Cardinals,Atlanta Falcons,Baltimore Ravens,Buffalo Bills,Carolina Panthers,Chicago Bears,Cincinnati Bengals,Cleveland Browns,Dallas Cowboys,Denver Broncos,Detroit Lions,Green Bay Packers,Houston Texans,Indianapolis Colts,Jacksonville Jaguars,Kansas City Chiefs,Miami Dolphins,Minnesota Vikings,New England Patriots,New Orleans Saints,New York Giants,New York Jets,Oakland Raiders,Philadelphia Eagles,Pittsburgh Steelers,San Diego Chargers,San Francisco 49ers,Seattle Seahawks,St. Louis Rams,Tampa Bay Buccaneers,Tennessee Titans,Washington Redskins
1967,0,0,NaN,0,NaN,0,NaN,0,0,0,0,198714023.0,NaN,0,NaN,0,0,0,0,NaN,0,0,0,0,0,0,0,NaN,0,NaN,0,0
1968,0,0,NaN,0,NaN,0,NaN,0,0,0,0,200706052.0,NaN,0,NaN,0,0,0,0,0,0,200708020.0,0,0,0,0,0,NaN,0,NaN,0,0
1969,0,0,NaN,0,NaN,0,0,0,0,0,0,199264384.0,NaN,0,NaN,202678915.0,0,0,0,0,0,202676946.0,0,0,0,0,0,NaN,0,NaN,0,0
1970,0,0,NaN,0,NaN,0,0,0,0,0,0,198142636.0,NaN,205054144.0,NaN,205052174.0,0,0,0,0,0,201544078.0,0,0,0,0,0,NaN,0,NaN,0,0
1971,0,0,NaN,0,NaN,0,0,0,207662648.0,0,0,197221976.0,NaN,207660677.0,NaN,204059583.0,0,0,0,0,0,200570307.0,0,0,0,0,0,NaN,0,NaN,0,0
1972,0,0,NaN,0,NaN,0,0,0,209896021.0,0,0,196191503.0,NaN,206590456.0,NaN,203023045.0,209897993.0,0,0,0,0,199583596.0,0,0,0,0,0,NaN,0,NaN,0,0
1973,0,0,NaN,0,NaN,0,0,0,208780542.0,0,0,195057942.0,NaN,205518213.0,NaN,201995881.0,211910761.0,0,0,0,0,198509983.0,0,0,0,0,0,NaN,0,NaN,0,0
1974,0,0,NaN,0,NaN,0,0,0,207711637.0,0,0,193917120.0,NaN,204484398.0,NaN,200913114.0,213853928.0,0,0,0,0,197367199.0,0,0,213855902.0,0,0,NaN,0,NaN,0,0
1975,0,0,NaN,0,NaN,0,0,0,206763654.0,0,0,192838327.0,NaN,203486911.0,NaN,199851716.0,212820854.0,0,0,0,0,196305828.0,0,0,215975174.0,0,0,NaN,0,NaN,0,0
1976,0,0,NaN,0,NaN,0,0,0,205753598.0,0,0,191696816.0,NaN,202418049.0,NaN,198783725.0,211840416.0,0,0,0,0,195223506.0,218037140.0,0,218035164.0,0,0,NaN,0,NaN,0,0
1977,0,0,NaN,0,NaN,0,0,0,220241402.0,0,0,190636557.0,NaN,201342212.0,NaN,197698005.0,210865740.0,0,0,0,0,194072412.0,220239425.0,0,216960621.0,0,0,0,0,0,0,0
1978,0,0,NaN,0,NaN,0,0,0,222584545.0,0,0,189549514.0,NaN,200349980.0,NaN,196628896.0,209940342.0,0,0,0,0,193101439.0,219258157.0,0,222586523.0,0,0,0,0,0,0,0
1979,0,0,NaN,0,NaN,0,0,0,221629178.0,0,0,188411750.0,NaN,199315158.0,NaN,195701704.0,208992605.0,0,0,0,0,192045980.0,218417751.0,0,225057466.0,0,0,0,0,0,0,0
1980,0,0,NaN,0,NaN,0,0,0,219742556.0,0,0,186200421.0,NaN,197257715.0,NaN,193497595.0,207034860.0,0,0,0,0,189781065.0,226547785.0,0,226545805.0,0,0,0,0,0,0,0
1981,0,0,NaN,0,NaN,0,0,0,218624849.0,0,0,184885164.0,NaN,195976869.0,NaN,192142566.0,205817140.0,0,0,0,0,188461829.0,228906306.0,0,225303489.0,0,228908287.0,0,0,0,0,0
1982,0,0,NaN,0,NaN,0,0,0,217295840.0,0,0,183414688.0,NaN,194482134.0,NaN,190690527.0,204394062.0,0,0,0,0,187017198.0,227506361.0,0,224023059.0,0,231126795.0,0,0,0,0,231128777.0
1983,0,0,NaN,0,NaN,0,0,0,215809369.0,0,0,181830286.0,NaN,192930367.0,NaN,189149011.0,202974004.0,0,0,0,0,185451769.0,233264554.0,0,222616559.0,0,229606992.0,0,0,0,0,233262571.0
1984,0,0,NaN,0,NaN,0,0,0,214300692.0,0,0,180182967.0,NaN,191357734.0,NaN,187551055.0,201398553.0,0,0,0,0,183834345.0,235316743.0,0,221145752.0,0,235318727.0,0,0,0,0,231725328.0
1985,0,0,NaN,0,NaN,237366912.0,0,0,212728880.0,0,0,178461574.0,NaN,189695785.0,NaN,185869197.0,199712898.0,0,0,0,0,182121727.0,233727061.0,0,219574537.0,0,237364927.0,0,0,0,0,230233677.0
1986,0,0,NaN,0,NaN,239568296.0,0,0,211200876.0,0,0,176762763.0,NaN,188087689.0,NaN,184228334.0,198146225.0,0,0,0,239570282.0,180469178.0,232318406.0,0,218081720.0,0,235864981.0,0,0,0,0,228813635.0
1987,0,0,NaN,0,NaN,238053348.0,0,0,209786784.0,0,0,175073782.0,NaN,186426973.0,NaN,182554687.0,196560807.0,0,0,0,241739502.0,178740904.0,230876948.0,0,216573240.0,0,234436612.0,0,0,0,0,241741489.0
1988,0,0,NaN,0,NaN,236570203.0,0,0,208114734.0,0,0,173084410.0,NaN,184681754.0,NaN,180741698.0,194885535.0,0,0,0,240179588.0,176961242.0,229355883.0,0,214975703.0,0,243927179.0,0,0,0,0,243925191.0
1989,0,0,NaN,0,NaN,235061993.0,0,0,206408300.0,0,0,171088868.0,NaN,182863332.0,NaN,178957113.0,193191631.0,0,0,0,238692449.0,174955931.0,227787420.0,0,213522163.0,0,246200587.0,0,0,0,0,242364772.0
1990,0,0,NaN,0,NaN,232089541.0,0,0,203263404.0,0,0,167953358.0,NaN,179587264.0,NaN,175540470.0,189953819.0,0,0,0,247152726.0,171659862.0,224750192.0,0,210343435.0,0,247150736.0,0,0,0,0,239433869.0
1991,0,0,NaN,0,NaN,231383036.0,0,0,202358552.0,0,0,166915474.0,NaN,178330870.0,NaN,174335070.0,188867385.0,0,0,0,250500736.0,170538353.0,224034034.0,0,209431339.0,0,246481448.0,0,0,0,0,250502727.0
1992,0,0,NaN,0,NaN,230836095.0,0,0,254004761.0,0,0,165930046.0,NaN,177217915.0,NaN,173296116.0,187830118.0,0,0,0,250023986.0,169565797.0,223456509.0,0,208688848.0,0,246032910.0,0,0,0,0,254002769.0
1993,0,0,NaN,0,NaN,230390200.0,0,0,257592748.0,0,0,164867838.0,NaN,176226543.0,NaN,172365197.0,186893056.0,0,0,0,249716885.0,168614604.0,223055366.0,0,207990994.0,0,245711214.0,0,0,0,0,253676649.0
1994,0,0,NaN,0,NaN,229674271.0,0,0,260894994.0,0,0,163535252.0,NaN,175065422.0,NaN,171184516.0,185608041.0,0,0,0,249163342.0,167328777.0,222204432.0,0,207013145.0,0,260896988.0,0,0,0,0,253136546.0
1995,0,0,NaN,0,NaN,228977596.0,0,0,264113929.0,0,0,162149878.0,NaN,173841503.0,NaN,169858641.0,184316764.0,0,0,0,248545149.0,165943068.0,221263062.0,0,205957214.0,0,264111934.0,0,0,0,0,252551799.0
1996,0,0,NaN,0,0,228076133.0,0,0,267287697.0,0,0,267289693.0,NaN,172485758.0,0,168427292.0,183044703.0,0,0,0,247824348.0,164517493.0,220303720.0,0,204817272.0,0,263525841.0,0,0,0,0,251912103.0
1997,0,0,0,0,0,227185184.0,0,0,266823695.0,270569543.0,0,270567546.0,NaN,171072991.0,0,167023503.0,181855791.0,0,0,0,247183720.0,163012562.0,219370304.0,0,203708866.0,0,263052737.0,0,0,0,0,251290449.0
1998,0,0,0,0,0,226251738.0,0,0,266309169.0,273823117.0,0,270067802.0,NaN,169618275.0,0,165460897.0,180582995.0,0,0,0,246491168.0,161484827.0,218354212.0,0,202520917.0,0,262520889.0,0,0,0,0,250605904.0
