"year","ANA","ARI","ATL","BAL","BOS","CHC","CHW","CIN","CLE","COL","DET","FLA","HOU","KCR","LAD","MIL","MIN","NYM","NYY","OAK","PHI","PIT","SDP","SEA","SFG","STL","TBD","TEX","TOR","WSN"
1903,0,0,0,0,80632000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1904,0,0,0,0,80197000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1905,0,0,0,0,79806000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83822000,0,0,0,0,0
1906,0,0,0,0,79336000,0,85450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83400000,0,0,0,0,0
1907,0,0,0,0,78781000,87008000,84922000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82853000,0,0,0,0,0
1908,0,0,0,0,78346000,88710000,84483000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82407000,0,0,0,0,0
1909,0,0,0,0,77979000,88328000,84090000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90490000,0,0,82018000,0,0,0,0,0
1910,0,0,0,0,77714000,88036000,83800000,0,0,0,0,0,0,0,0,0,0,0,0,92407000,0,90204000,0,0,81736000,0,0,0,0,0
1911,0,0,0,0,77008000,87281000,83067000,0,0,0,0,0,0,0,0,0,0,0,0,93863000,0,89442000,0,0,81012000,0,0,0,0,0
1912,0,0,0,0,95335000,86535000,82340000,0,0,0,0,0,0,0,0,0,0,0,0,93085000,0,88684000,0,0,80293000,0,0,0,0,0
1913,0,0,0,0,94946000,86143000,81935000,0,0,0,0,0,0,0,0,0,0,0,0,97225000,0,88295000,0,0,79880000,0,0,0,0,0
1914,0,0,99111000,0,94528000,85707000,81479000,0,0,0,0,0,0,0,0,0,0,0,0,96806000,0,87867000,0,0,79409000,0,0,0,0,0
1915,0,0,98229000,0,100546000,84845000,80604000,0,0,0,0,0,0,0,0,0,0,0,0,95934000,0,87008000,0,0,78525000,0,0,0,0,0
1916,0,0,97328000,0,101961000,83925000,79661000,0,0,0,0,0,0,0,0,0,0,0,0,95037000,0,86097000,0,0,77573000,0,0,0,0,0
1917,0,0,96311000,0,100939000,82854000,103268000,0,0,0,0,0,0,0,0,0,0,0,0,94017000,0,85039000,0,0,76464000,0,0,0,0,0
1918,0,0,93906000,0,103208000,80369000,100876000,0,0,0,0,0,0,0,0,0,0,0,0,91602000,0,82568000,0,0,73950000,0,0,0,0,0
1919,0,0,92978000,0,102215000,79494000,99907000,104514000,0,0,0,0,0,0,0,0,0,0,0,90681000,0,81680000,0,0,73144000,0,0,0,0,0
1920,0,0,92483000,0,101871000,78921000,99534000,104184000,106461000,0,0,0,0,0,0,0,0,0,0,90151000,0,81094000,0,0,72672000,0,0,0,0,0
1921,0,0,91942000,0,101418000,78371000,99036000,103801000,106176000,0,0,0,0,0,0,0,0,0,0,89610000,0,80553000,0,0,108538000,0,0,0,0,0
1922,0,0,90921000,0,100412000,77362000,98018000,102815000,105223000,0,0,0,0,0,0,0,0,0,0,88593000,0,79540000,0,0,110049000,0,0,0,0,0
